year,age,sex,n
2013,70,male,1195493
2013,71,female,1202667
2013,71,male,1035642
2013,72,female,1108880
2013,72,male,937547
2013,73,female,1053489
2013,73,male,882714
2013,74,female,992488
2013,74,male,829500
2013,75,female,959168
2013,75,male,785587
2013,76,female,891315
2013,76,male,717122
2013,77,female,857985
2013,77,male,677816
2013,78,female,831276
2013,78,male,640683
2013,79,female,751884
2013,79,male,569340
2013,80,female,735096
2013,80,male,541986
2013,81,female,709202
2013,81,male,509279
2013,82,female,683242
2013,82,male,475932
2013,83,female,663513
2013,83,male,446093
2013,84,female,605303
2013,84,male,393336
2014,0,female,1930252
2014,0,male,2024473
2014,1,female,1930281
2014,1,male,2018408
2014,2,female,1934791
2014,2,male,2023505
2014,3,female,1956458
2014,3,male,2048966
2014,4,female,1960279
2014,4,male,2043405
2014,5,female,1961556
2014,5,male,2042817
2014,6,female,2023861
2014,6,male,2109439
2014,7,female,2031183
2014,7,male,2121568
2014,8,female,2014046
2014,8,male,2104524
2014,9,female,2009830
2014,9,male,2096559
2014,10,female,2015863
2014,10,male,2099170
2014,11,female,2001987
2014,11,male,2083029
2014,12,female,1993315
2014,12,male,2074584
2014,13,female,2041273
2014,13,male,2127749
2014,14,female,2068470
2014,14,male,2164056
2014,15,female,2035547
2014,15,male,2128678
2014,16,female,2036848
2014,16,male,2130757
2014,17,female,2045965
2014,17,male,2137554
2014,18,female,2059981
2014,18,male,2162805
2014,19,female,2103727
2014,19,male,2218512
2014,20,female,2145420
2014,20,male,2267069
2014,21,female,2174209
2014,21,male,2307824
2014,22,female,2239980
2014,22,male,2365777
2014,23,female,2295227
2014,23,male,2398890
2014,24,female,2297837
2014,24,male,2390781
2014,25,female,2209417
2014,25,male,2294465
2014,26,female,2162457
2014,26,male,2237805
2014,27,female,2129586
2014,27,male,2198515
2014,28,female,2143093
2014,28,male,2205858
2014,29,female,2168996
2014,29,male,2217185
2014,30,female,2111383
2014,30,male,2140036
2014,31,female,2149429
2014,31,male,2169862
2014,32,female,2153863
2014,32,male,2165566
2014,33,female,2134864
2014,33,male,2139060
2014,34,female,2169604
2014,34,male,2190278
2014,35,female,2045086
2014,35,male,2045277
2014,36,female,2007915
2014,36,male,2002972
2014,37,female,1994077
2014,37,male,1977004
2014,38,female,1935748
2014,38,male,1920085
2014,39,female,1992921
2014,39,male,1983591
2014,40,female,1939107
2014,40,male,1914280
2014,41,female,1975718
2014,41,male,1938061
2014,42,female,2062772
2014,42,male,2028936
2014,43,female,2182702
2014,43,male,2144601
2014,44,female,2202365
2014,44,male,2181105
2014,45,female,2091869
2014,45,male,2063514
2014,46,female,2051156
2014,46,male,2018879
2014,47,female,2060326
2014,47,male,2015874
2014,48,female,2098395
2014,48,male,2055000
2014,49,female,2227474
2014,49,male,2176992
2014,50,female,2277972
2014,50,male,2208500
2014,51,female,2281125
2014,51,male,2202299
2014,52,female,2279582
2014,52,male,2195087
2014,53,female,2313535
2014,53,male,2216653
2014,54,female,2329643
2014,54,male,2240200
2014,55,female,2261023
2014,55,male,2155610
2014,56,female,2252537
2014,56,male,2137886
2014,57,female,2234755
2014,57,male,2107015
2014,58,female,2161589
